source_path,recipe_type,output,sha256,status
src/main/resources/assets/advancedrocketry/recipes/blocknuclearfueltank.json,minecraft:crafting_shaped,advancedrocketry:nuclearfueltank,b086c9ea0625b49190827536bc88ba0f14fd5956edfa708023b5e9023d070437,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/blockoxidizerfueltank.json,minecraft:crafting_shaped,advancedrocketry:oxidizerfueltank,2f0e296a6d883d6e788ecae8d0df8bf5d03ab7276b6c8d2494b04657a5d6e953,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/blockpump.json,minecraft:crafting_shaped,advancedrocketry:blockpump,49fb97596d93bc604bfcc358834f2f36088f115a439fffefd7e6a941c06998cd,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/bonemeal_chem.json,advancedrocketry:chemicalreactor,,2dd1b5373c3dd12ee6dd0d7378642c3b15e0b208fe91e571d7479507ddb008e3,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/carboncartridgerefresh.json,advancedrocketry:chemicalreactor,,54e505d8e9fe02ea5dfd0d3082928cb9825d30b36cd5a13274e6343cd2653c83,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/carbonscrubbercartidge.json,minecraft:crafting_shaped,advancedrocketry:carbonscrubbercartridge,9bfbf3cc6ca0ebd9f1f5519a3dab218cc2fca820bce4a048d92e22cfe51e986e,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/centrifuge.json,minecraft:crafting_shaped,advancedrocketry:centrifuge,30c2b4155bff8fc9c534f9b10c26acec2638d299766e0d9c239c68f61410b425,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/charcoalbrick.json,minecraft:crafting_shapeless,advancedrocketry:misc,d4de517371782056b15dbfbd4cc353dae139c216d979328daef8d7cd23475744,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/chemicalreactor.json,minecraft:crafting_shaped,advancedrocketry:chemicalreactor,d5e103a18159c5d4fa7d8bfc4655503684fb5be10a40fb23391f972c88aaec61,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/circlelight.json,minecraft:crafting_shaped,advancedrocketry:circlelight,846a20d96d365327f614dbbd3152897f3b71bcfbf63c5e7151dc564454574763,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/compositionsensor.json,minecraft:crafting_shaped,advancedrocketry:satelliteprimaryfunction,c524604a424a07df9f8db4a81e4e733ce6ac069b0605ab586269b2228aa58b22,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/controlcircuitboard.json,minecraft:crafting_shaped,advancedrocketry:ic,4a374d22e8fa6e6d56b1bd2fb9da1ed7bcfadbff65c07b5b262f2d9e5af57892,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/controlcircuitboard_prec.json,advancedrocketry:precisionassembler,,d1c6151d6b7d70bea12708df3551e7f72b6dd542639ba3191c0100e7b6a95905,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/crystallizer.json,minecraft:crafting_shaped,advancedrocketry:crystallizer,bdcec56af31dffe7e8f19b0c8198fb6d4e990e6a56952dcbe30fe0ea2ffc0130,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/cuttingmachine.json,minecraft:crafting_shaped,advancedrocketry:cuttingmachine,2d8665f0d0492f65c2610ca18de5168f6175f4483f3233bce9c74fae6f08c0f2,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/databus.json,minecraft:crafting_shaped,advancedrocketry:loader,a096cd1b2387b505e19d9e8fa763bbc691c8246178a030975e3cbff9eebe3f11,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/dataunit.json,advancedrocketry:precisionassembler,,c5d6e6a839fc672c2f6b2cccebf1da71d5acb07d56602094dfd807fbf4500c7b,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/deployablerocketbuilder.json,minecraft:crafting_shaped,advancedrocketry:deployablerocketbuilder,9bfa9908160427df581cef9fe15280aa9c5542edcded3c096c0fcb3127a5f3ed,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/drill.json,minecraft:crafting_shapeless,advancedrocketry:drill,5bdfcfbd29a3ee936d6bc9a9cd65c185bd27c8a94a0ba883d2345828030ee576,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/electrolyser.json,minecraft:crafting_shaped,advancedrocketry:electrolyser,08d3f18b4a9041d767616f77761bc10762ad958c92cc3c5627fee3ae2f7b268b,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/elevatorchip.json,advancedrocketry:precisionassembler,,3ca48495feab8c01584da99e0b790906a0df6e5e9385091eefd81923ca02d430,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/engine.json,minecraft:crafting_shaped,advancedrocketry:rocketmotor,2d297f6fe8a3d659c1443d3eff181fcbddc6d08a89ff6523e95062e96d0bdb95,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/flightspeed.json,advancedrocketry:precisionassembler,,3134f67fd6b834f99a459c01638b4d812984149b8681dbef17525b8dead27673,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/forcefieldprojector.json,minecraft:crafting_shaped,advancedrocketry:forcefieldprojector,09114fafe86978388fc917414216813995345c94a401be4140df612e400afcbb,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/fuelingstation.json,minecraft:crafting_shaped,advancedrocketry:fuelingstation,c97b6cfa57c83b14fe052a23065b983d16a00b6bc09f033bdba39b050656f2ab,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/genericseat.json,minecraft:crafting_shaped,advancedrocketry:seat,4650e0b7da88d76fe6fa1c4022c6b7dc41e356356a1a4e59c9463db257896286,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/gravitycontroller.json,minecraft:crafting_shapeless,advancedrocketry:gravitycontroller,2b4b6770fe583a0e194831a0c8978cd592b579971f229f5f99a49966ea11c9b6,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/gravitymachine.json,minecraft:crafting_shaped,advancedrocketry:gravitymachine,f6309b9985a8a60438a6e1df084763a952ca8dbd852d1973888db5d3cf4e0361,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/guidancecomputer.json,minecraft:crafting_shaped,advancedrocketry:guidancecomputer,2aa0d3ce71c5c798b762c503796e0444d019412aef208d640dc51505a86d9146,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/guidancecomputeraccesshatch.json,minecraft:crafting_shaped,advancedrocketry:loader,d52b6650b26183b6d0bd1d8d406d9784f9fb1f04f751f5b593c10d2ba14c0b47,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/highpressuretank.json,advancedrocketry:rollingmachine,,8eff684cfb5c677798968d0825cf14bf7455a7ee46084df7d9faf905ae7e4a6a,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/holoprojector.json,minecraft:crafting_shaped,libvulpes:holoprojector,de845168cf373b4c48900a6b93ce960a59339be0401c255bdafbc0220f0be894,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/hovercraft.json,minecraft:crafting_shaped,advancedrocketry:hovercraft,4a47290fbbf111995a20316e5c9f7860d1d269940c1b8faf0f5c6c96e1521b45,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/hoverupgrade.json,advancedrocketry:precisionassembler,,637fbb153aace6bc37dd00148360ace2e200c016368111cb1e4d8666d617f5e3,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/hydrogenoxygen.json,advancedrocketry:electrolyser,,888e62e79fbcc0a31416a3b7b5e9123f14f24444aae7f25f7661d6e961f4486f,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/ingotsteel.json,advancedrocketry:electricarcfurnace,,c687917a8dd35c498f6c0ad77bce1e59746c3cc773edf6a96475bcb3ee07c262,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/ingottitaniumaluminide.json,advancedrocketry:electricarcfurnace,,6a5db3f90204bc5c4b56dfa0539a2827eba66dec26b3f5f1611a2c902da04daa,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/ingottitaniumiridium.json,advancedrocketry:electricarcfurnace,,8d090f4f51fb212613e07b05b415ce1fa6e41ec240badec5e072114d214bfdc5,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/intake.json,minecraft:crafting_shaped,advancedrocketry:intake,7c7c980ca52c078d95a7af4fcdccb017dfe26f47f147ff75910c85aceff25e7d,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/iocircuitboard.json,minecraft:crafting_shaped,advancedrocketry:ic,567fcbd5f9d558dbcf459521c08580ef5f966c6cdef98469cb65eea737fa77b8,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/iocircuitboard_prec.json,advancedrocketry:precisionassembler,,1d714a23db89c8c1939fb4d67c312583191e6123f70b65fb425a1f38c09143f7,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/jackhammer.json,minecraft:crafting_shaped,advancedrocketry:jackhammer,04ee5ff1253e888b86a2e7044bcbeeda17a055d5ece6346e7e171c61f600f704,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/jetpack.json,minecraft:crafting_shaped,advancedrocketry:jetpack,8fcf370553d78be71ad69cf471dccfe91b72ba53b8f6a7b666d35a0524d64608,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/landingpad.json,minecraft:crafting_shapeless,advancedrocketry:landingpad,b004bd5f22246991a0228153fa1c16483d0660f95028d49d6c21808775722ccc,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/largesolarpanel.json,minecraft:crafting_shapeless,advancedrocketry:satellitepowersource,1be8b6ed398a5c0e14622fd519d14db945a461b4577c19583b26711f9e83a4cc,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/lathe.json,minecraft:crafting_shaped,advancedrocketry:lathe,e3160e966eaff00b2ad1634249d23ba682ced2d8cbbef2e30fc354cf6ef30a1f,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/launchpad.json,minecraft:crafting_shapeless,advancedrocketry:launchpad,638c20477a6a0e4eeb6dc0e2dcffffa5ebf33bb7d506f1be33e1f12047f5978b,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/lens.json,minecraft:crafting_shaped,advancedrocketry:lens,2a185d4129a18ec1b2627eda32c7bacec3e66e117c546add3b166d7d009dadf3,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/liquidiocircuitboard.json,minecraft:crafting_shaped,advancedrocketry:ic,2ba1d45a9c4ea2c5ee05e416d131853e0098707027033bf97d10ab257541e72b,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/liquidiocircuitboard_prec.json,advancedrocketry:precisionassembler,,8fa23bef5974f1c5759055b5586dc58e6f83e9245847bb8964619386d9386373,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/liquidtank.json,minecraft:crafting_shaped,advancedrocketry:liquidtank,81f7a6bf0801b10f85bbec78227c502229cf65a622ab5a3168469e71909639a7,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/lowpressuretank.json,advancedrocketry:rollingmachine,,7cf23d48b8085a3c0baa0cabd6b41808171d2d293966a20159021714fb93d8ff,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/massdetector.json,minecraft:crafting_shaped,advancedrocketry:satelliteprimaryfunction,fefb268e0d005524ce2b3ed3b78cd347a605107877e206211baa0967032c520f,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/microwavereciever.json,minecraft:crafting_shaped,advancedrocketry:microwavereciever,a848847508197294d141550181ffa709bde3878709346f7ab2d203eb5b600f43,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/microwavetransmitter.json,minecraft:crafting_shaped,advancedrocketry:satelliteprimaryfunction,8940020cd51d8031edef4372180fe7172c416a4980531f9abe04d9eec0b1d0c8,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/monitoringstation.json,minecraft:crafting_shaped,advancedrocketry:monitoringstation,287d8162faae661595151adbf2b8e1ef2e42033b4a3c783f5491184482f852c1,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/nuclearcore.json,advancedrocketry:precisionassembler,,770b943bc3a487f17b41243c75b3c6b7f9fddfb44aa34c3be84c7542f6434929,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/nuclearengine.json,minecraft:crafting_shaped,advancedrocketry:nuclearrocketmotor,2215c7f11a73026b831fc6376ca1272bdbdf3dc979cfe4c7929bfa43b4f21b20,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/observatory.json,minecraft:crafting_shaped,advancedrocketry:observatory,e59ebbb1efb544a51b5db9837b84205614c06997d510012ce9cc54c90e749c1c,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/opticalsensor.json,minecraft:crafting_shaped,advancedrocketry:satelliteprimaryfunction,ec45f4b04cfad3982deea26245215f319c8b12513269e4fc715605cd8d8a0984,VALID_JSON
src/main/resources/assets/advancedrocketry/recipes/oremapper.json,minecraft:crafting_shaped,advancedrocketry:satelliteprimaryfunction,6923f10692524b17de59f6588a634cabbaa1d3f6cc9722ec84199487ec43074b,VALID_JSON
