path,line,registry_kind,declaration
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,390,tile_entity,"GameRegistry.registerTileEntity(TileDataPipe.class, ""ARDataPipe"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,391,tile_entity,"GameRegistry.registerTileEntity(TileEnergyPipe.class, ""AREnergyPipe"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,392,tile_entity,"GameRegistry.registerTileEntity(TileMicrowaveReciever.class, ""ARMicrowaveReciever"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,393,tile_entity,"GameRegistry.registerTileEntity(TileSuitWorkStation.class, ""ARSuitWorkStation"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,394,tile_entity,"GameRegistry.registerTileEntity(TileRocketLoader.class, ""ARRocketLoader"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,395,tile_entity,"GameRegistry.registerTileEntity(TileRocketUnloader.class, ""ARRocketUnloader"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,396,tile_entity,"GameRegistry.registerTileEntity(TileBiomeScanner.class, ""ARBiomeScanner"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,397,tile_entity,"GameRegistry.registerTileEntity(TileAtmosphereTerraformer.class, ""ARAttTerraformer"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,398,tile_entity,"GameRegistry.registerTileEntity(TileLandingPad.class, ""ARLandingPad"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,399,tile_entity,"GameRegistry.registerTileEntity(TileUnmannedVehicleAssembler.class, ""ARStationDeployableRocketAssembler"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,400,tile_entity,"GameRegistry.registerTileEntity(TileFluidTank.class, ""ARFluidTank"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,401,tile_entity,"GameRegistry.registerTileEntity(TileRocketFluidUnloader.class, ""ARFluidUnloader"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,402,tile_entity,"GameRegistry.registerTileEntity(TileRocketFluidLoader.class, ""ARFluidLoader"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,403,tile_entity,"GameRegistry.registerTileEntity(TileSolarPanel.class, ""ARSolarGenerator"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,404,tile_entity,"GameRegistry.registerTileEntity(TileDockingPort.class, ""ARDockingPort"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,405,tile_entity,"GameRegistry.registerTileEntity(TileStationAltitudeController.class, ""ARStationAltitudeController"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,406,tile_entity,"GameRegistry.registerTileEntity(TileRailgun.class, ""ARRailgun"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,407,tile_entity,"GameRegistry.registerTileEntity(TileHolographicPlanetSelector.class, ""ARplanetHoloSelector"");"
src/main/java/zmaster587/advancedRocketry/AdvancedRocketry.java,408,tile_entity,"GameRegistry.registerTileEntity(TileForceFieldProjector.class, ""ARForceFieldProjector"");"
