source_path,line,reference,reference_kind,target_path,status
src/main/resources/assets/advancedrocketry/blockstates/airlock_door.json,0,advancedrocketry:airlock_door_top_rh,model,src/main/resources/assets/advancedrocketry/models/airlock_door_top_rh.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/airlock_door.json,0,advancedrocketry:airlock_door_top_rh,model,src/main/resources/assets/advancedrocketry/models/airlock_door_top_rh.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/airlock_door.json,0,advancedrocketry:airlock_door_top_rh,model,src/main/resources/assets/advancedrocketry/models/airlock_door_top_rh.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/airlock_door.json,0,advancedrocketry:airlock_door_top_rh,model,src/main/resources/assets/advancedrocketry/models/airlock_door_top_rh.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/airlock_door.json,0,advancedrocketry:airlock_door_top_rh,model,src/main/resources/assets/advancedrocketry/models/airlock_door_top_rh.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/airlock_door.json,0,advancedrocketry:airlock_door_top_rh,model,src/main/resources/assets/advancedrocketry/models/airlock_door_top_rh.json,MISSING
src/main/resources/assets/advancedrocketry/blockstates/alienleaves.json,0,advancedrocketry:blocks/leaves_alien,texture,src/main/resources/assets/advancedrocketry/textures/blocks/leaves_alien.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/alienleaves.json,0,forge:default-block,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/alienleaves.json,0,minecraft:leaves,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/aliensapling.json,0,advancedrocketry:blocks/sapling_blueTree,texture,src/main/resources/assets/advancedrocketry/textures/blocks/sapling_blueTree.png,MISSING
src/main/resources/assets/advancedrocketry/blockstates/aliensapling.json,0,forge:default-block,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/aliensapling.json,0,minecraft:cross,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/alienwood.json,0,advancedrocketry:blocks/log_blue,texture,src/main/resources/assets/advancedrocketry/textures/blocks/log_blue.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/alienwood.json,0,advancedrocketry:blocks/log_blue,texture,src/main/resources/assets/advancedrocketry/textures/blocks/log_blue.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/alienwood.json,0,advancedrocketry:blocks/log_blue_top,texture,src/main/resources/assets/advancedrocketry/textures/blocks/log_blue_top.png,PRESENT
src/main/resources/assets/advancedrocketry/blockstates/alienwood.json,0,forge:default-block,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/alienwood.json,0,minecraft:cube_all,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/alienwood.json,0,minecraft:cube_column,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/alienwood.json,0,minecraft:cube_column,model,,EXTERNAL_NAMESPACE
src/main/resources/assets/advancedrocketry/blockstates/alienwood.json,0,minecraft:cube_column,model,,EXTERNAL_NAMESPACE
