elapsed_seconds,client_id,latency_ms
1035.017,2,0.994
1035.017,3,0.922
1035.017,4,15.767
1050.017,1,0.978
1050.017,2,16.535
1050.017,3,0.842
1050.017,4,15.674
1065.002,1,1.089
1065.002,2,1.095
1065.002,3,1.388
1065.002,4,0.714
1080.002,1,1.435
1080.002,2,0.87
1080.002,3,0.839
1080.002,4,0.866
1095.026,1,1.325
1095.026,2,0.975
1095.026,3,24.706
1095.026,4,24.201
1110.003,1,1.096
1110.003,2,0.962
1110.003,3,1.707
1110.003,4,0.639
1125.024,1,23.388
1125.024,2,0.863
1125.024,3,0.891
1125.024,4,22.739
1140.014,1,1.054
1140.014,2,13.172
1140.014,3,0.669
1140.014,4,12.892
1155.002,1,1.023
1155.002,2,1.038
1155.002,3,1.375
1155.002,4,0.622
1170.014,1,1.143
1170.015,2,13.673
1170.015,3,1.062
1170.015,4,0.835
1185.017,1,1.04
1185.017,2,14.656
1185.017,3,0.746
1185.017,4,0.642
1200.002,1,0.881
1200.002,2,1.139
1200.002,3,0.793
1200.002,4,1.152
1215.002,1,1.095
1215.002,2,1.062
1215.002,3,1.685
1215.002,4,1.237
1230.023,1,1.227
1230.023,2,1.018
1230.023,3,22.753
1230.023,4,0.764
1245.003,1,1.219
1245.003,2,1.187
1245.003,3,0.608
1245.003,4,0.797
1260.012,1,1.097
1260.012,2,1.126
1260.012,3,11.112
1260.012,4,11.052
1275.018,1,1.18
1275.018,2,16.311
1275.018,3,1.319
1275.018,4,16.148
1290.013,1,12.363
1290.013,2,0.991
1290.013,3,0.97
1290.013,4,11.724
1305.02,1,18.865
1305.02,2,19.074
1305.02,3,19.041
1305.02,4,0.738
1320.021,1,1.263
1320.021,2,1.47
1320.021,3,1.269
1320.021,4,20.239
1335.023,1,1.138
1335.023,2,1.164
1335.023,3,22.194
1335.023,4,0.668
1350.003,1,1.707
1350.003,2,1.553
1350.003,3,0.973
1350.003,4,0.944
1365.002,1,1.611
1365.002,2,1.472
1365.002,3,1.13
1365.002,4,0.951
1380.021,1,0.905
1380.021,2,0.797
1380.021,3,0.611
1380.021,4,19.009
1395.012,1,11.477
1395.012,2,11.252
1395.012,3,0.742
1395.012,4,10.691
1410.028,1,1.036
1410.028,2,0.927
1410.028,3,0.804
1410.028,4,26.263
1425.023,1,1.196
1425.023,2,1.17
1425.023,3,0.934
1425.023,4,20.743
1440.02,1,1.153
1440.02,2,18.372
1440.02,3,18.354
1440.02,4,0.551
1455.02,1,1.14
1455.02,2,1.199
1455.02,3,1.077
1455.02,4,19.067
1470.002,1,1.082
1470.002,2,1.175
1470.002,3,0.89
1470.002,4,1.083
1485.014,1,13.752
1485.014,2,1.117
1485.014,3,1.267
1485.015,4,1.034
1500.013,1,11.904
1500.013,2,0.895
1500.013,3,0.648
1500.013,4,0.689
1515.021,1,19.681
1515.021,2,0.819
1515.021,3,0.606
1515.021,4,0.622
1530.002,1,1.149
1530.002,2,0.909
1530.002,3,0.766
1530.002,4,0.442
1545.015,1,1.196
1545.015,2,1.004
1545.015,3,0.942
1545.015,4,13.576
1560.024,1,0.971
1560.024,2,0.97
1560.024,3,22.512
1560.024,4,22.583
1575.002,1,1.13
1575.002,2,1.148
1575.002,3,1.145
1575.002,4,0.518
1590.02,1,19.808
1590.021,2,19.567
1590.021,3,19.574
1590.021,4,19.427
1605.021,1,0.944
1605.021,2,0.991
1605.021,3,0.726
1605.021,4,19.057
1620.019,1,1.019
1620.019,2,0.727
1620.019,3,0.696
1620.019,4,17.789
1635.023,1,1.024
1635.023,2,1.028
1635.023,3,21.498
1635.023,4,0.836
1650.017,1,1.093
1650.017,2,1.069
1650.017,3,0.949
1650.017,4,15.59
1665.024,1,23.392
1665.024,2,23.345
1665.024,3,23.144
1665.024,4,0.466
1680.014,1,1.089
1680.014,2,0.897
1680.014,3,0.844
1680.014,4,12.158
1695.025,1,1.004
1695.025,2,24.505
1695.025,3,24.404
1695.025,4,24.233
1710.025,1,23.972
1710.025,2,23.981
1710.025,3,0.767
1710.025,4,23.784
1725.02,1,19.021
1725.02,2,19.256
1725.02,3,0.579
1725.02,4,18.281
1740.019,1,1.007
1740.019,2,0.861
1740.019,3,0.867
1740.019,4,17.141
1755.02,1,1.175
1755.02,2,0.984
1755.02,3,1.032
1755.02,4,18.31
1770.02,1,0.856
1770.02,2,18.637
1770.02,3,0.594
1770.02,4,0.408
1785.002,1,1.059
1785.002,2,0.709
1785.002,3,1.04
1785.002,4,0.523
1800.005,1,0.867
1800.005,2,0.832
1800.005,3,3.271
1800.005,4,0.472
1815.002,1,1.191
1815.002,2,0.862
1815.002,3,0.93
1815.002,4,0.98
1830.014,1,13.342
1830.014,2,12.943
1830.014,3,0.696
1830.014,4,0.69
1845.018,1,16.925
1845.018,2,16.503
1845.018,3,0.624
1845.018,4,15.957
1860.023,1,21.748
1860.023,2,22.069
1860.023,3,21.71
1860.023,4,21.835
1875.024,1,23.14
1875.024,2,22.88
1875.024,3,0.843
1875.024,4,22.408
1890.015,1,1.144
1890.015,2,13.988
1890.015,3,0.85
1890.015,4,13.382
1905.024,1,1.169
1905.024,2,1.207
1905.024,3,1.436
1905.024,4,22.166
1920.016,1,1.426
1920.016,2,0.98
1920.016,3,0.926
1920.016,4,14.901
1935.024,1,23.466
1935.024,2,23.464
1935.024,3,0.913
1935.024,4,1.52
1950.017,1,1.004
1950.017,2,1.027
1950.017,3,0.77
1950.017,4,15.534
1965.016,1,0.968
1965.016,2,0.922
1965.016,3,14.671
1965.016,4,0.948
1980.002,1,1.642
1980.002,2,0.743
1980.002,3,1.035
1980.002,4,1.127
1995.003,1,1.521
1995.003,2,0.893
1995.003,3,1.526
1995.003,4,0.827
2010.002,1,0.847
2010.002,2,0.855
2010.002,3,1.129
2010.002,4,0.44
2025.026,1,0.977
2025.026,2,1.044
2025.026,3,0.88
2025.026,4,24.454
2040.016,1,1.04
2040.016,2,15.447
2040.016,3,0.706
2040.016,4,15.141
2055.023,1,0.912
2055.023,2,0.911
2055.023,3,21.676
2055.023,4,0.654
2070.02,1,1.082
2070.02,2,18.735
2070.02,3,1.011
2070.02,4,0.906
2085.012,1,1.127
2085.012,2,0.832
2085.012,3,0.709
2085.012,4,10.42
2100.018,1,0.864
2100.018,2,0.877
2100.018,3,1.266
